[25/Apr/2026 11:04:19] "POST /api/users/users/initiate_signup/ HTTP/1.1" 200 17
[25/Apr/2026 11:05:41] "POST /api/users/users/verify_signup/ HTTP/1.1" 200 114
[25/Apr/2026 11:05:44] "POST /api/auth/token/ HTTP/1.1" 200 558
[25/Apr/2026 11:05:44] "GET /api/users/users/me/ HTTP/1.1" 200 1994
[25/Apr/2026 11:05:44] "GET /api/core/agencies/ag-cyiyn1bxt25wgkks06zhcr13/ HTTP/1.1" 200 357
[25/Apr/2026 11:05:47] "GET /api/core/agencies/ag-cyiyn1bxt25wgkks06zhcr13/ HTTP/1.1" 200 357
[25/Apr/2026 11:05:47] "GET /api/core/packages/ HTTP/1.1" 200 601
[25/Apr/2026 11:05:52] "POST /api/core/agencies/ag-cyiyn1bxt25wgkks06zhcr13/activate_trial/ HTTP/1.1" 200 22
[25/Apr/2026 11:05:52] "GET /api/core/packages/pa-nq879xc1nf7fow6ggzipvoud/ HTTP/1.1" 200 549
[25/Apr/2026 11:05:59] "GET /api/core/agencies/ag-cyiyn1bxt25wgkks06zhcr13/ HTTP/1.1" 200 929
[25/Apr/2026 11:05:59] "GET /api/core/packages/pa-nq879xc1nf7fow6ggzipvoud/ HTTP/1.1" 200 549
[25/Apr/2026 11:06:01] "GET /api/core/branches/ HTTP/1.1" 200 1691
[25/Apr/2026 11:06:01] "GET /api/core/settings/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 433
[25/Apr/2026 11:06:01] "GET /api/users/users/me/ HTTP/1.1" 200 3138
[25/Apr/2026 11:06:02] "GET /api/users/users/me/ HTTP/1.1" 200 3138
[25/Apr/2026 11:06:02] "GET /api/users/users/me/ HTTP/1.1" 200 3138
[25/Apr/2026 11:06:55] "POST /api/core/branches/onboarding/ HTTP/1.1" 200 22
[25/Apr/2026 11:06:56] "GET /api/core/branches/ HTTP/1.1" 200 1787
[25/Apr/2026 11:06:56] "GET /api/core/settings/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 551
[25/Apr/2026 11:06:56] "GET /api/users/users/me/ HTTP/1.1" 200 3225
[25/Apr/2026 11:06:59] "GET /api/core/branches/ HTTP/1.1" 200 1787
[25/Apr/2026 11:07:00] "GET /api/core/settings/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 551
[25/Apr/2026 11:07:00] "GET /api/sales/sales/?branch_id=br-db2irkif3ujeqyrwg22iy95d&limit=20&offset=0&ordering=-date HTTP/1.1" 200 52
[25/Apr/2026 11:07:00] "GET /api/sales/sales/?branch_id=br-db2irkif3ujeqyrwg22iy95d&limit=20&offset=0&ordering=-date HTTP/1.1" 200 52
[25/Apr/2026 11:07:00] "GET /api/core/settings/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 551
[25/Apr/2026 11:07:00] "GET /api/core/branches/ HTTP/1.1" 200 1787
[25/Apr/2026 11:07:00] "GET /api/users/users/me/ HTTP/1.1" 200 3225
[25/Apr/2026 11:07:00] "GET /api/users/users/me/ HTTP/1.1" 200 3225
[25/Apr/2026 11:07:00] "GET /api/users/users/me/ HTTP/1.1" 200 3225
[25/Apr/2026 11:07:00] "GET /api/core/analytics/summary/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 348
[25/Apr/2026 11:07:01] "GET /api/users/users/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 3277
[25/Apr/2026 11:07:01] "GET /api/users/users/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 3277
[25/Apr/2026 11:07:01] "GET /api/core/analytics/summary/?branchId=br-db2irkif3ujeqyrwg22iy95d HTTP/1.1" 200 348
[25/Apr/2026 11:07:02] "GET /api/inventory/products/delta/?branch_id=br-db2irkif3ujeqyrwg22iy95d&since=0 HTTP/1.1" 200 43
