[25/Apr/2026 11:33:32] "POST /api/users/users/initiate_signup/ HTTP/1.1" 200 17
[25/Apr/2026 11:35:02] "POST /api/users/users/verify_signup/ HTTP/1.1" 200 112
[25/Apr/2026 11:35:06] "POST /api/auth/token/ HTTP/1.1" 200 558
[25/Apr/2026 11:35:06] "GET /api/users/users/me/ HTTP/1.1" 200 1988
[25/Apr/2026 11:35:06] "GET /api/core/agencies/ag-gss1z9iioqld5mdsr1hezvp0/ HTTP/1.1" 200 355
[25/Apr/2026 11:35:08] "GET /api/core/agencies/ag-gss1z9iioqld5mdsr1hezvp0/ HTTP/1.1" 200 355
[25/Apr/2026 11:35:09] "GET /api/core/packages/ HTTP/1.1" 200 601
[25/Apr/2026 11:35:21] "POST /api/core/agencies/ag-gss1z9iioqld5mdsr1hezvp0/activate_trial/ HTTP/1.1" 200 22
[25/Apr/2026 11:35:21] "GET /api/core/packages/pa-nq879xc1nf7fow6ggzipvoud/ HTTP/1.1" 200 549
[25/Apr/2026 11:35:27] "GET /api/core/agencies/ag-gss1z9iioqld5mdsr1hezvp0/ HTTP/1.1" 200 927
[25/Apr/2026 11:35:27] "GET /api/core/packages/pa-nq879xc1nf7fow6ggzipvoud/ HTTP/1.1" 200 549
[25/Apr/2026 11:35:30] "GET /api/core/settings/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 433
[25/Apr/2026 11:35:30] "GET /api/core/branches/ HTTP/1.1" 200 1689
[25/Apr/2026 11:35:30] "GET /api/users/users/me/ HTTP/1.1" 200 3132
[25/Apr/2026 11:35:31] "GET /api/users/users/me/ HTTP/1.1" 200 3132
[25/Apr/2026 11:35:31] "GET /api/users/users/me/ HTTP/1.1" 200 3132
[25/Apr/2026 11:36:18] "POST /api/core/branches/onboarding/ HTTP/1.1" 200 22
[25/Apr/2026 11:36:19] "GET /api/core/branches/ HTTP/1.1" 200 1781
[25/Apr/2026 11:36:19] "GET /api/core/settings/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 553
[25/Apr/2026 11:36:19] "GET /api/users/users/me/ HTTP/1.1" 200 3213
[25/Apr/2026 11:36:21] "GET /api/core/settings/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 553
[25/Apr/2026 11:36:21] "GET /api/core/branches/ HTTP/1.1" 200 1781
[25/Apr/2026 11:36:21] "GET /api/users/users/me/ HTTP/1.1" 200 3213
[25/Apr/2026 11:36:21] "GET /api/sales/sales/?branch_id=br-ueiguuaa7pnm32pxlfge1id5&limit=20&offset=0&ordering=-date HTTP/1.1" 200 52
[25/Apr/2026 11:36:21] "GET /api/core/settings/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 553
[25/Apr/2026 11:36:21] "GET /api/core/branches/ HTTP/1.1" 200 1781
[25/Apr/2026 11:36:21] "GET /api/users/users/me/ HTTP/1.1" 200 3213
[25/Apr/2026 11:36:21] "GET /api/sales/sales/?branch_id=br-ueiguuaa7pnm32pxlfge1id5&limit=20&offset=0&ordering=-date HTTP/1.1" 200 52
[25/Apr/2026 11:36:22] "GET /api/core/analytics/summary/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 348
[25/Apr/2026 11:36:22] "GET /api/users/users/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 3265
[25/Apr/2026 11:36:22] "GET /api/core/analytics/summary/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 348
[25/Apr/2026 11:36:22] "GET /api/users/users/me/ HTTP/1.1" 200 3213
[25/Apr/2026 11:36:22] "GET /api/users/users/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 3265
[25/Apr/2026 11:36:24] "GET /api/inventory/products/delta/?branch_id=br-ueiguuaa7pnm32pxlfge1id5&since=0 HTTP/1.1" 200 43
[25/Apr/2026 11:36:25] "GET /api/finance/expenses/?branch_id=br-ueiguuaa7pnm32pxlfge1id5&date_from=2025-12-31T21:00:00.000Z&date_to=2026-12-30T21:00:00.000Z HTTP/1.1" 200 52
[25/Apr/2026 11:36:25] "GET /api/sales/sales/performance_chart/?branchId=br-ueiguuaa7pnm32pxlfge1id5&timeframe=monthly&year=2026&startDate=2025-12-31T21:00:00.000Z&endDate=2026-12-30T21:00:00.000Z HTTP/1.1" 200 2
[25/Apr/2026 11:36:26] "GET /api/sales/goals/progress/?branchId=br-ueiguuaa7pnm32pxlfge1id5&period_name=MONTHLY-2026-03&start_date=2026-03-31T21:00:00.000Z&end_date=2026-04-30T20:59:59.999Z HTTP/1.1" 200 121
[25/Apr/2026 11:36:26] "PATCH /api/users/users/us-eeb1nnlrswyvzc3v9l64wzdi/ HTTP/1.1" 200 3243
[25/Apr/2026 11:36:27] "GET /api/core/settings/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 553
[25/Apr/2026 11:36:27] "GET /api/sales/sales/?branch_id=br-ueiguuaa7pnm32pxlfge1id5&limit=20&offset=0&ordering=-date HTTP/1.1" 200 52
[25/Apr/2026 11:36:27] "GET /api/users/users/me/ HTTP/1.1" 200 3243
[25/Apr/2026 11:36:27] "GET /api/core/branches/ HTTP/1.1" 200 1781
[25/Apr/2026 11:36:27] "GET /api/users/users/me/ HTTP/1.1" 200 3243
[25/Apr/2026 11:36:28] "GET /api/core/settings/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 553
[25/Apr/2026 11:36:28] "GET /api/users/users/me/ HTTP/1.1" 200 3243
[25/Apr/2026 11:36:28] "GET /api/core/analytics/summary/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 348
[25/Apr/2026 11:36:28] "GET /api/sales/sales/?branch_id=br-ueiguuaa7pnm32pxlfge1id5&limit=20&offset=0&ordering=-date HTTP/1.1" 200 52
[25/Apr/2026 11:36:28] "GET /api/users/users/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 3295
[25/Apr/2026 11:36:28] "GET /api/core/branches/ HTTP/1.1" 200 1781
[25/Apr/2026 11:36:28] "GET /api/core/analytics/summary/?branchId=br-ueiguuaa7pnm32pxlfge1id5 HTTP/1.1" 200 348
